argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank
a0,108,115,12297,13076,0.7824561403508772,0.37894736842105264,0.4035087719298246,0.6168831168831169,0.00205894453905144,113.70434782608696,0.003341109484240226
a1,107,113,12212,12934,0.7719298245614036,0.37543859649122807,0.39649122807017545,0.6155507559395248,0.0019913339500070783,114.46017699115045,0.0033225293307374763
a2,137,93,15599,10557,0.8070175438596492,0.4807017543859649,0.3263157894736842,0.6581986143187067,0.002071929726091988,113.51612903225806,0.0040912089699430745
a3,114,119,13023,13591,0.8175438596491228,0.4,0.41754385964912283,0.625,0.002227677226231018,114.21008403361344,0.0035243485158049565
a4,115,116,13023,13183,0.8105263157894737,0.4035087719298246,0.4070175438596491,0.6263736263736264,0.002177516822368488,113.64655172413794,0.0035179624199340068
a5,105,109,11865,12283,0.7508771929824561,0.3684210526315789,0.3824561403508772,0.6129032258064516,0.00181897347705221,112.68807339449542,0.0032412915440609533
a6,118,113,13542,12905,0.8105263157894737,0.41403508771929826,0.39649122807017545,0.6305309734513275,0.0021936498207250706,114.20353982300885,0.003639537941448556
a7,114,99,12937,11317,0.7473684210526316,0.4,0.3473684210526316,0.625,0.001837406151443022,114.31313131313131,0.0034980154270658212
a8,117,110,13364,12440,0.7964912280701755,0.4105263157894737,0.3859649122807018,0.6291390728476821,0.002093387261647412,113.0909090909091,0.0035894625632244066
a9,118,108,13445,12253,0.7929824561403509,0.41403508771929826,0.37894736842105264,0.6305309734513275,0.0020593176176586458,113.45370370370371,0.0035954015127923756
a10,118,109,13450,12308,0.7964912280701755,0.41403508771929826,0.3824561403508772,0.6305309734513275,0.00208708401543609,112.91743119266054,0.0036126764035652897
a11,111,117,12519,13222,0.8,0.3894736842105263,0.4105263157894737,0.6209150326797386,0.002083186033219768,113.00854700854701,0.0033885548775444865
a12,114,115,12888,13032,0.8035087719298246,0.4,0.4035087719298246,0.625,0.0021018351605601657,113.32173913043478,0.003472781831730668
a13,112,117,12756,13351,0.8035087719298246,0.3929824561403509,0.4105263157894737,0.6222707423580786,0.0021358568409520036,114.11111111111111,0.0034406522529377976
a14,107,129,12266,14721,0.8280701754385965,0.37543859649122807,0.45263157894736844,0.6155507559395248,0.0022754048775992064,114.11627906976744,0.0033439978117548886
a15,133,100,15279,11332,0.8175438596491228,0.4666666666666667,0.3508771929824561,0.6521739130434783,0.0021783492819672074,113.32,0.004029402836963144
a16,125,107,14190,12069,0.8140350877192982,0.4385964912280702,0.37543859649122807,0.6404494382022472,0.002122455304406424,112.79439252336448,0.0037668829934940943
a17,113,119,12712,13485,0.8140350877192982,0.39649122807017545,0.41754385964912283,0.6236323851203501,0.0021374957552366095,113.31932773109244,0.0034086189005407773
a18,120,100,13630,11355,0.7719298245614036,0.4210526315789474,0.3508771929824561,0.6333333333333333,0.0019485582308482708,113.55,0.003659147304657823
a19,131,106,14951,12152,0.8315789473684211,0.45964912280701753,0.3719298245614035,0.6492027334851936,0.0023121640110341747,114.64150943396227,0.00394901467863332
a20,110,120,12631,13692,0.8070175438596492,0.3859649122807018,0.4210526315789474,0.6195652173913043,0.002171654066960097,114.1,0.003429316291180969
a21,119,108,13483,12213,0.7964912280701755,0.41754385964912283,0.37894736842105264,0.6319290465631929,0.0020710094587592085,113.08333333333333,0.003591526127033312
a22,121,98,13714,11171,0.768421052631579,0.4245614035087719,0.34385964912280703,0.6347438752783965,0.0019516081374353282,113.98979591836735,0.003669497968589731
a23,111,116,12626,13258,0.7964912280701755,0.3894736842105263,0.4070175438596491,0.6209150326797386,0.0021304008696775806,114.29310344827586,0.0034197574121900033
a24,112,123,12840,14102,0.8245614035087719,0.3929824561403509,0.43157894736842106,0.6222707423580786,0.0022660208291088724,114.65040650406505,0.003465896697712399
a25,106,111,12010,12571,0.7614035087719299,0.3719298245614035,0.3894736842105263,0.6142241379310345,0.0018849734993537258,113.25225225225225,0.0032712411419769907
a26,122,109,13890,12382,0.8105263157894737,0.4280701754385965,0.3824561403508772,0.6361607142857143,0.002160694295467949,113.59633027522936,0.0037158080096338
a27,105,116,11911,13084,0.775438596491228,0.3684210526315789,0.4070175438596491,0.6129032258064516,0.0019651021440013463,112.79310344827586,0.003244542545851447
a28,130,109,14823,12402,0.8385964912280702,0.456140350877193,0.3824561403508772,0.6477272727272727,0.0023198311215764196,113.77981651376147,0.0039206999020357635
a29,121,105,13643,11914,0.7929824561403509,0.4245614035087719,0.3684210526315789,0.6347438752783965,0.0020450035489363826,113.46666666666667,0.0036539773386134026
a30,108,114,12210,12859,0.7789473684210526,0.37894736842105264,0.4,0.6168831168831169,0.0019558661637294225,112.79824561403508,0.0033070283555899052
a31,113,108,12918,12270,0.775438596491228,0.39649122807017545,0.37894736842105264,0.6236323851203501,0.0020164642241697617,113.61111111111111,0.003509786820307382
a32,102,125,11629,14365,0.7964912280701755,0.35789473684210527,0.4385964912280702,0.6089743589743589,0.002088422611927884,114.92,0.003202246065728726
a33,105,120,11985,13686,0.7894736842105263,0.3684210526315789,0.4210526315789474,0.6129032258064516,0.0020728294275575163,114.05,0.003280831610428113
a34,126,106,14375,12174,0.8140350877192982,0.4421052631578947,0.3719298245614035,0.6418918918918919,0.0022212412773720182,114.84905660377359,0.00383405696744982
a35,119,113,13631,12925,0.8140350877192982,0.41754385964912283,0.39649122807017545,0.6319290465631929,0.0022427697329799037,114.38053097345133,0.003654063878427272
