argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank,edge_node_ratio
a0,4,7,4,9,0.1466666666666666,0.0533333333333333,0.0933333333333333,0.0568888888888888,0.0513513513513513,1.2857142857142858,0.0186639386470603,1.1973684210526316
a1,3,6,12,17,0.12,0.04,0.08,0.12,0.09009009009009,2.833333333333333,0.0175920187023838,1.1973684210526316
a2,8,7,10,11,0.2,0.1066666666666666,0.0933333333333333,0.12,0.0634234234234234,1.5714285714285714,0.0630795925856249,1.1973684210526316
a3,1,0,3,0,0.0133333333333333,0.0133333333333333,0.0,0.0908920187793427,0.0,0.0,0.0066358833488654,1.1973684210526316
a4,3,1,8,0,0.0533333333333333,0.04,0.0133333333333333,0.1052054794520547,0.0043243243243243,0.0,0.018847761696891,1.1973684210526316
a5,1,0,4,0,0.0133333333333333,0.0133333333333333,0.0,0.045,0.0,0.0,0.0064099999312606,1.1973684210526316
a6,4,5,5,2,0.12,0.0533333333333333,0.0666666666666666,0.1185964912280701,0.0279279279279279,0.4,0.0236075719150069,1.1973684210526316
a7,2,1,4,1,0.04,0.0266666666666666,0.0133333333333333,0.0979629629629629,0.0039639639639639,1.0,0.0365827126511295,1.1973684210526316
a8,2,1,8,7,0.04,0.0266666666666666,0.0133333333333333,0.0877611940298507,0.005045045045045,7.0,0.0153256362819728,1.1973684210526316
a9,3,1,5,1,0.0533333333333333,0.04,0.0133333333333333,0.1067936507936508,0.005045045045045,1.0,0.0547504495004892,1.1973684210526316
a10,0,1,0,1,0.0133333333333333,0.0,0.0133333333333333,0.0,0.0,1.0,0.0041436175108496,1.1973684210526316
a11,1,3,3,1,0.0533333333333333,0.0133333333333333,0.04,0.0908920187793427,0.0198198198198198,0.3333333333333333,0.0066358833488654,1.1973684210526316
a12,2,0,3,0,0.0266666666666666,0.0266666666666666,0.0,0.091043771043771,0.0,0.0,0.0236867275363946,1.1973684210526316
a13,2,4,2,8,0.08,0.0266666666666666,0.0533333333333333,0.0304761904761904,0.0286486486486486,2.0,0.0132952185827195,1.1973684210526316
a14,1,3,2,6,0.0533333333333333,0.0133333333333333,0.04,0.0177777777777777,0.0151351351351351,2.0,0.0113922944290585,1.1973684210526316
a15,0,1,0,6,0.0133333333333333,0.0,0.0133333333333333,0.0,0.0,6.0,0.0041436175108496,1.1973684210526316
a16,0,1,0,5,0.0133333333333333,0.0,0.0133333333333333,0.0,0.0,5.0,0.0041436175108496,1.1973684210526316
a17,6,1,7,2,0.0933333333333333,0.08,0.0133333333333333,0.1595604395604395,0.0145945945945945,2.0,0.0553377694137932,1.1973684210526316
a18,1,1,0,5,0.0266666666666666,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0012612612612612,5.0,0.0076657429257678,1.1973684210526316
a19,1,1,2,1,0.0266666666666666,0.0133333333333333,0.0133333333333333,0.0750354609929078,0.0,1.0,0.0352299028942986,1.1973684210526316
a20,2,1,2,1,0.04,0.0266666666666666,0.0133333333333333,0.0859106529209621,0.009009009009009,1.0,0.0092818168096372,1.1973684210526316
a21,1,1,3,1,0.0266666666666666,0.0133333333333333,0.0133333333333333,0.0843107769423558,0.0,1.0,0.0506616029233419,1.1973684210526316
a22,0,1,0,1,0.0133333333333333,0.0,0.0133333333333333,0.0,0.0,1.0,0.0041436175108496,1.1973684210526316
a23,1,2,4,7,0.04,0.0133333333333333,0.0266666666666666,0.0387878787878787,0.0014414414414414,3.5,0.0064099999312606,1.1973684210526316
a24,1,0,4,0,0.0133333333333333,0.0133333333333333,0.0,0.045,0.0,0.0,0.0064099999312606,1.1973684210526316
a25,1,0,4,0,0.0133333333333333,0.0133333333333333,0.0,0.045,0.0,0.0,0.0064099999312606,1.1973684210526316
a26,2,2,1,8,0.0533333333333333,0.0266666666666666,0.0266666666666666,0.0266666666666666,0.0106306306306306,4.0,0.0147586127466325,1.1973684210526316
a27,3,2,10,3,0.0666666666666666,0.04,0.0266666666666666,0.1284955752212389,0.0113513513513513,1.5,0.0743951795349228,1.1973684210526316
a28,3,0,2,0,0.04,0.04,0.0,0.0548571428571428,0.0,0.0,0.0169060284571834,1.1973684210526316
a29,4,2,3,2,0.08,0.0533333333333333,0.0266666666666666,0.1044604316546762,0.007027027027027,1.0,0.0463295166939896,1.1973684210526316
