argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank,edge_node_ratio
a0,5,2,19,7,0.027027027027027,0.0193050193050193,0.0077220077220077,0.1712217594962431,0.0083009839678786,3.5,0.0031680430838765,4.0
a1,6,2,18,3,0.0308880308880308,0.0231660231660231,0.0077220077220077,0.1882812168526454,0.0031931532444528,1.5,0.002595025282455,4.0
a2,4,6,11,16,0.0386100386100386,0.0154440154440154,0.0231660231660231,0.1822722418467099,0.0146743686695332,2.6666666666666665,0.0019929124100546,4.0
a3,8,1,35,4,0.0347490347490347,0.0308880308880308,0.0038610038610038,0.2294677330391616,0.0097060773763431,4.0,0.0077986401369636,4.0
a4,2,5,8,20,0.027027027027027,0.0077220077220077,0.0193050193050193,0.1754292566579255,0.009178415932219,4.0,0.0029058698045102,4.0
a5,3,6,6,22,0.0347490347490347,0.0115830115830115,0.0231660231660231,0.1835741864313292,0.0204176671550006,3.6666666666666665,0.0017519461358162,4.0
a6,2,8,6,26,0.0386100386100386,0.0077220077220077,0.0308880308880308,0.1772440420716282,0.0178957522298347,3.25,0.0022604220296268,4.0
a7,5,2,18,6,0.027027027027027,0.0193050193050193,0.0077220077220077,0.1975433212942821,0.0082596401282566,3.0,0.0048506053066048,4.0
a8,5,2,16,6,0.027027027027027,0.0193050193050193,0.0077220077220077,0.2028444048964964,0.0040074558762266,3.0,0.0037562106193203,4.0
a9,2,6,6,22,0.0308880308880308,0.0077220077220077,0.0231660231660231,0.1766349560163993,0.0162805908454443,3.6666666666666665,0.0021445914314639,4.0
a10,4,4,16,15,0.0308880308880308,0.0154440154440154,0.0154440154440154,0.2089462284584235,0.0226402630174371,3.75,0.0055071143909088,4.0
a11,5,5,18,17,0.0386100386100386,0.0193050193050193,0.0193050193050193,0.2219377038029887,0.044247407102085,3.4,0.0055512944575147,4.0
a12,4,4,17,17,0.0308880308880308,0.0154440154440154,0.0154440154440154,0.1978474680553202,0.0220899441127357,4.25,0.0059773525262478,4.0
a13,4,3,13,13,0.027027027027027,0.0154440154440154,0.0115830115830115,0.1867760617760617,0.0055818141764497,4.333333333333333,0.0036182407257296,4.0
a14,4,4,14,18,0.0308880308880308,0.0154440154440154,0.0154440154440154,0.1989193970618119,0.0219426743555871,4.5,0.0039948503423436,4.0
a15,5,3,13,11,0.0308880308880308,0.0193050193050193,0.0115830115830115,0.1939651781161215,0.0095368527689712,3.6666666666666665,0.0037248221593905,4.0
a16,3,4,9,13,0.027027027027027,0.0115830115830115,0.0154440154440154,0.1743581146566221,0.0048370631402681,3.25,0.0029966245754202,4.0
a17,1,6,3,19,0.027027027027027,0.0038610038610038,0.0231660231660231,0.1648517389376914,0.0027372567703816,3.1666666666666665,0.0011243070153059,4.0
a18,3,6,13,18,0.0347490347490347,0.0115830115830115,0.0231660231660231,0.197240108214782,0.0141212045413726,3.0,0.003728023600076,4.0
a19,6,3,20,8,0.0347490347490347,0.0231660231660231,0.0115830115830115,0.1825311512811512,0.0131969437983704,2.6666666666666665,0.0048847968273345,4.0
a20,5,2,17,7,0.027027027027027,0.0193050193050193,0.0077220077220077,0.2004710304242285,0.0067529969452482,3.5,0.0040297114082259,4.0
a21,6,4,26,17,0.0386100386100386,0.0231660231660231,0.0154440154440154,0.2138135282894018,0.0534821194821652,4.25,0.0098203864211423,4.0
a22,3,6,6,23,0.0347490347490347,0.0115830115830115,0.0231660231660231,0.1728338002715944,0.0169253424700952,3.8333333333333335,0.0013807005949079,4.0
