Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,1
a2,1,1
a3,1,0
a6,0,0
a8,0,0
a10,1,0
a12,0,0
a13,1,0
a14,1,1
a19,1,1
a21,1,1
a22,1,1
a23,1,1
a27,1,0
a28,1,1
a29,1,0
a30,1,0
a32,1,1
a35,1,0
a36,0,0
a37,0,1
a40,0,0
a44,0,1
a45,1,1
a51,1,1
a54,1,0
a56,0,0
a57,0,0
a59,1,0
a60,0,1
a61,0,0
a62,0,0
a66,1,1
a67,1,1
a69,1,0
a70,0,0
a71,0,0
a73,0,0
a75,0,1
a76,0,1
a79,1,1
a80,0,1
a81,1,0
a82,1,1
a83,0,1
a84,0,0
a85,1,1
a86,0,1
a87,0,0
a88,1,1
a89,0,0
a90,0,1
a93,0,1
a94,0,1
a97,1,1
a99,1,1
a100,0,0
a101,1,0
a102,0,1
a104,1,1
a106,1,0
a107,0,1
a108,1,1
a109,0,1
a110,0,1
a112,0,0
a116,1,0
a119,0,0
a121,0,1
a123,0,0
a124,0,1
a127,1,1
a128,0,0
a130,0,1
a132,0,0
a133,1,1
a134,1,1
a136,1,1
a137,1,1
a138,0,0
a139,0,1
a5,1,0
a9,1,0
a17,1,0
a18,1,1
a24,1,0
a26,1,1
a33,1,1
a34,1,1
a38,1,0
a41,0,1
a42,1,1
a49,1,1
a52,1,0
a53,1,1
a58,0,1
a64,1,0
a65,1,0
a72,1,0
a77,1,1
a92,1,0
a95,1,0
a98,1,1
a103,1,1
a105,1,1
a113,0,1
a115,0,1
a117,1,0
a120,0,0
a122,0,0
a125,0,0
a126,0,1
a129,0,1
a4,0,0
a15,0,0
a16,0,0
a25,0,0
a39,1,0
a47,1,1
a55,0,1
a63,1,0
a68,1,1
a111,1,0
a114,1,1
a131,0,1
a135,0,1
a7,0,1
a43,0,0
a46,0,1
a48,1,1
a74,1,0
a78,1,1
a91,0,0
a96,0,1
a118,1,1
a140,0,1
a1,1,0
a20,1,1
a31,1,1
a11,1,1
a50,1,1
