Argument,In_Stability_Impact,Out_Stability_Impact
a0,0,0
a1,1,0
a2,1,0
a3,1,1
a5,1,0
a11,1,0
a12,0,0
a16,1,0
a18,1,0
a19,1,0
a20,1,0
a21,1,0
a22,1,1
a23,1,1
a24,1,0
a25,0,0
a26,0,0
a27,1,0
a28,0,0
a29,1,1
a30,1,0
a33,1,0
a34,1,0
a35,0,1
a37,1,0
a48,1,0
a49,1,0
a50,1,0
a51,1,0
a52,1,1
a53,0,0
a54,1,1
a55,0,1
a57,0,0
a59,0,0
a60,0,0
a63,0,0
a64,0,0
a65,1,0
a67,1,0
a68,1,1
a69,1,0
a70,1,0
a72,1,0
a77,1,0
a79,0,1
a80,1,0
a81,1,0
a83,1,0
a84,1,0
a85,1,0
a86,1,0
a87,1,0
a88,1,0
a93,1,1
a95,0,0
a97,1,0
a99,1,0
a4,0,0
a6,1,0
a9,1,0
a10,1,0
a13,1,0
a15,0,0
a17,0,1
a31,0,1
a32,1,0
a36,1,1
a38,1,0
a41,1,0
a42,1,0
a44,1,1
a45,1,1
a47,1,0
a56,1,0
a58,1,1
a61,0,0
a71,1,0
a74,1,0
a75,1,1
a78,1,0
a82,1,1
a89,1,0
a90,1,0
a96,1,1
a98,1,0
a7,1,0
a8,1,0
a14,0,0
a40,1,0
a46,1,0
a62,1,0
a66,0,1
a73,0,0
a76,1,0
a91,1,0
a92,1,0
a94,1,0
a43,0,1
a39,1,1
