Argument,In_Stability_Impact,Out_Stability_Impact
a1,0,1
a2,0,1
a4,0,0
a6,1,1
a8,0,1
a9,1,1
a13,0,0
a15,1,1
a18,1,1
a20,1,1
a22,0,1
a27,0,1
a28,0,0
a29,1,0
a35,1,1
a36,0,1
a38,0,1
a39,0,0
a41,1,0
a42,1,1
a46,1,1
a48,1,0
a49,1,1
a50,1,0
a53,0,0
a57,1,0
a58,1,1
a59,0,0
a61,0,0
a62,0,0
a63,0,1
a64,1,1
a67,1,0
a69,0,1
a71,1,0
a74,0,1
a75,0,0
a76,1,1
a78,0,0
a81,0,0
a83,0,1
a85,1,0
a87,1,1
a88,1,1
a0,1,1
a11,1,1
a12,1,1
a14,1,1
a16,0,1
a21,1,0
a24,0,0
a25,0,1
a31,0,1
a32,0,0
a34,1,1
a37,1,1
a40,0,1
a51,1,1
a52,1,0
a56,0,0
a65,0,0
a70,0,0
a72,0,0
a73,0,1
a79,0,1
a80,0,0
a82,1,1
a84,0,1
a89,0,0
a3,1,0
a7,1,1
a17,1,1
a19,1,0
a23,0,1
a30,0,1
a33,0,1
a43,0,0
a44,1,1
a54,0,1
a55,1,0
a60,0,0
a66,0,1
a68,0,1
a86,1,1
a90,0,0
a5,1,1
a10,0,1
a45,0,0
a77,1,1
a26,1,0
a47,1,1
