Argument,In_Stability_Impact,Out_Stability_Impact
a0,0,0
a1,1,0
a2,1,0
a5,1,0
a7,0,0
a13,1,1
a15,1,1
a16,1,0
a18,1,0
a20,0,0
a22,0,0
a24,1,0
a25,1,0
a27,0,0
a28,1,0
a32,1,0
a34,1,0
a35,0,1
a36,1,0
a37,1,0
a38,1,0
a39,1,0
a41,0,0
a43,0,0
a44,1,0
a47,1,0
a49,1,0
a51,1,0
a54,0,0
a55,1,1
a56,1,0
a57,0,0
a58,0,0
a62,1,1
a63,0,0
a64,1,0
a68,0,0
a70,1,0
a71,0,0
a73,0,1
a74,1,1
a4,1,0
a6,1,0
a8,1,0
a12,1,0
a14,1,0
a17,0,0
a19,0,1
a26,1,0
a29,1,1
a30,0,0
a31,1,0
a33,1,0
a42,1,0
a45,1,1
a48,0,0
a52,1,0
a53,1,0
a61,0,0
a67,1,0
a69,1,0
a72,0,0
a3,0,1
a9,0,0
a10,1,0
a21,1,0
a23,1,0
a40,1,0
a46,1,0
a50,1,0
a59,0,1
a60,0,0
a65,0,0
a66,1,0
a11,1,0
