Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,0
a3,1,0
a6,1,0
a7,1,0
a8,1,1
a10,1,1
a12,1,1
a15,1,1
a16,1,0
a17,1,0
a18,1,0
a20,1,1
a22,1,0
a23,1,0
a24,1,1
a27,1,0
a28,1,0
a29,1,0
a30,1,1
a32,0,0
a33,1,1
a34,1,1
a39,1,1
a43,1,1
a46,1,0
a47,0,1
a51,1,0
a54,1,0
a55,1,1
a60,1,1
a2,1,1
a14,1,0
a19,0,0
a26,1,1
a31,1,0
a35,1,1
a36,1,0
a37,1,1
a40,1,1
a41,1,0
a42,1,0
a48,0,0
a50,1,1
a52,1,0
a56,1,1
a58,1,0
a59,1,0
a1,1,0
a9,0,1
a13,1,1
a21,1,1
a25,1,0
a49,1,0
a57,1,0
a11,1,1
a44,1,1
a45,1,0
a53,1,0
a4,1,0
a5,1,0
a38,1,1
