Argument,In_Stability_Impact,Out_Stability_Impact
a1,1,0
a3,1,0
a4,1,0
a5,0,0
a7,1,0
a12,1,1
a13,1,1
a15,1,0
a17,0,0
a18,0,0
a19,1,0
a21,0,1
a22,0,0
a23,1,0
a25,0,1
a28,1,1
a30,0,0
a32,1,0
a33,1,0
a34,1,1
a35,1,1
a36,0,0
a37,0,0
a39,0,0
a40,1,1
a41,1,0
a42,1,1
a44,1,0
a47,1,0
a48,0,1
a52,1,0
a54,1,0
a55,0,1
a56,0,0
a57,1,0
a58,1,0
a0,1,1
a2,1,1
a9,1,0
a10,1,0
a11,1,1
a14,0,0
a20,0,1
a24,1,0
a27,1,0
a31,0,0
a46,1,0
a51,1,1
a59,1,0
a6,0,0
a16,0,1
a26,1,0
a38,1,1
a45,1,0
a49,1,0
a53,1,0
a8,1,1
a29,0,0
a50,1,0
a43,1,0
