Argument,In_Stability_Impact,Out_Stability_Impact
a5,0,0
a9,1,0
a10,0,1
a11,1,1
a13,1,1
a15,0,1
a16,0,0
a17,0,1
a21,0,1
a22,0,1
a23,1,0
a24,1,1
a25,0,0
a26,0,1
a27,1,0
a36,1,0
a41,0,1
a46,0,1
a47,0,0
a50,0,1
a54,1,0
a55,0,0
a56,0,1
a57,0,1
a58,1,1
a59,0,0
a60,1,1
a61,1,0
a65,1,0
a67,1,0
a69,1,0
a70,1,1
a75,1,1
a76,1,1
a78,1,0
a79,0,1
a80,1,0
a81,0,1
a82,0,1
a84,0,0
a85,0,1
a89,1,0
a91,0,1
a92,1,1
a93,1,1
a95,0,1
a96,0,0
a97,0,1
a100,1,1
a102,0,0
a103,1,0
a104,1,0
a106,0,0
a107,0,0
a109,0,0
a113,0,0
a118,1,1
a119,1,0
a122,0,0
a123,0,0
a125,1,1
a127,0,1
a128,0,1
a129,1,1
a131,0,0
a132,0,1
a133,0,0
a135,0,0
a139,1,1
a140,1,1
a1,0,0
a3,1,0
a4,0,1
a12,1,0
a18,0,0
a20,0,1
a28,0,0
a29,1,1
a30,0,1
a31,0,0
a32,0,1
a35,0,1
a38,0,1
a39,1,1
a40,1,0
a43,1,1
a44,0,0
a45,0,0
a48,0,0
a49,1,1
a53,1,1
a62,0,0
a64,1,0
a66,0,1
a71,1,1
a73,0,1
a74,1,0
a77,0,0
a83,0,1
a87,1,1
a90,1,0
a98,0,1
a99,1,1
a101,1,0
a105,1,0
a108,0,1
a111,1,1
a112,1,0
a114,1,0
a116,0,1
a124,1,1
a137,1,1
a138,1,0
a0,1,1
a6,0,1
a7,0,0
a8,1,1
a19,0,1
a33,1,0
a42,0,0
a51,0,1
a68,0,0
a72,1,1
a110,1,1
a117,0,0
a126,0,1
a134,0,1
a136,0,1
a2,1,0
a37,1,1
a52,1,1
a86,1,1
a94,1,1
a130,0,1
a120,1,1
a63,0,1
a121,1,1
a14,1,0
a34,1,0
a88,1,0
a115,1,1
