Argument,In_Stability_Impact,Out_Stability_Impact
a1,1,1
a2,1,1
a3,0,1
a5,0,0
a7,0,1
a9,0,1
a12,0,1
a13,1,0
a17,1,0
a18,1,1
a20,1,1
a21,0,0
a22,0,0
a24,1,1
a25,1,0
a26,0,0
a27,0,1
a30,1,1
a31,0,0
a34,0,1
a36,0,0
a37,1,1
a38,1,1
a39,0,1
a40,0,0
a41,0,0
a44,1,1
a45,1,1
a46,0,0
a47,1,1
a48,0,0
a49,1,0
a52,0,0
a54,1,0
a55,1,1
a56,1,1
a57,1,1
a59,0,0
a60,1,0
a61,1,1
a64,0,1
a65,0,1
a66,0,0
a68,0,1
a71,0,1
a75,0,0
a77,0,0
a81,1,1
a83,0,1
a87,0,1
a88,1,0
a89,1,1
a90,0,1
a92,0,1
a93,0,1
a96,1,0
a97,1,0
a99,0,1
a103,0,1
a104,1,1
a105,1,1
a0,0,0
a4,0,1
a6,0,1
a10,0,0
a14,1,0
a15,0,1
a19,0,0
a28,0,1
a33,1,1
a35,0,0
a43,1,1
a50,1,1
a53,1,0
a58,0,1
a62,0,1
a67,1,1
a69,1,0
a73,0,1
a76,0,1
a78,1,1
a79,0,0
a80,1,1
a84,1,1
a86,0,1
a91,0,1
a98,0,1
a100,1,1
a101,1,0
a102,0,1
a8,0,0
a11,0,1
a23,1,1
a29,0,0
a42,1,1
a51,0,1
a82,1,1
a94,1,1
a95,1,0
a63,0,1
a70,0,0
a72,0,0
a85,0,1
a32,0,1
a16,1,1
a74,1,1
