Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,1
a2,0,0
a3,0,0
a7,0,0
a9,1,1
a10,1,0
a11,0,0
a14,1,0
a15,0,1
a16,0,1
a17,1,0
a18,0,0
a20,1,0
a21,0,1
a25,1,0
a26,1,0
a27,1,0
a28,1,0
a29,1,0
a31,1,0
a33,0,0
a36,1,0
a37,1,0
a38,1,0
a39,1,0
a40,0,0
a47,1,0
a48,0,0
a49,1,0
a53,1,0
a55,0,1
a56,1,0
a60,1,0
a61,1,0
a62,0,0
a68,1,0
a69,1,0
a72,1,0
a73,1,0
a74,0,1
a4,1,0
a5,1,0
a6,0,1
a8,1,0
a12,1,0
a22,1,1
a23,1,0
a32,1,0
a34,1,0
a35,1,0
a41,0,0
a50,0,1
a52,1,0
a57,0,0
a58,1,0
a63,1,0
a66,0,0
a1,1,0
a13,0,1
a30,0,0
a43,1,0
a44,0,0
a45,1,0
a54,0,0
a59,1,0
a65,1,1
a67,1,1
a70,1,1
a42,0,0
a64,1,1
a71,1,0
a24,1,0
a46,0,0
a51,0,0
a19,0,0
