Argument,In_Stability_Impact,Out_Stability_Impact
a1,1,1
a3,1,1
a5,1,0
a7,1,0
a9,1,0
a10,1,1
a14,1,0
a16,1,1
a17,1,0
a19,1,1
a20,1,0
a21,1,0
a23,1,0
a24,1,0
a25,1,0
a28,1,1
a29,1,1
a30,1,1
a31,1,0
a35,1,0
a39,1,0
a41,1,1
a45,1,1
a47,1,0
a48,1,0
a50,1,1
a51,1,0
a53,1,1
a54,1,1
a55,1,0
a57,1,1
a58,1,0
a59,1,0
a60,1,0
a0,1,0
a2,1,0
a6,1,0
a12,1,0
a13,1,1
a15,1,1
a18,1,1
a22,1,1
a26,1,1
a32,1,0
a34,1,1
a38,1,1
a40,1,1
a43,1,0
a44,1,1
a46,1,0
a52,1,1
a56,1,0
a8,1,0
a11,1,0
a36,1,1
a49,1,1
a27,1,0
a33,1,1
a37,1,0
a4,1,0
a42,1,0
