Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,0
a1,1,0
a5,1,1
a7,0,1
a10,1,0
a11,1,0
a12,1,0
a14,1,0
a16,1,0
a18,1,1
a19,1,0
a22,1,1
a24,1,1
a26,1,0
a29,1,1
a31,1,1
a32,1,0
a34,1,0
a36,0,1
a37,1,0
a38,1,1
a40,1,1
a43,1,1
a46,1,0
a47,1,1
a49,1,0
a50,1,0
a51,1,1
a53,1,1
a55,1,0
a56,1,0
a58,1,1
a60,1,0
a3,1,0
a6,1,0
a15,1,1
a20,1,1
a28,1,1
a30,1,0
a35,1,1
a39,1,1
a45,1,0
a54,1,0
a2,1,0
a4,1,1
a8,1,0
a21,1,0
a33,1,1
a48,1,1
a59,1,0
a13,1,0
a23,1,1
a25,1,1
a27,1,0
a57,1,1
a17,1,0
a44,1,1
a9,1,1
a41,1,1
a42,1,0
a52,1,1
