Argument,In_Stability_Impact,Out_Stability_Impact
a0,0,1
a1,0,0
a3,1,1
a7,0,1
a8,0,1
a10,0,0
a11,0,0
a12,0,0
a14,1,0
a16,1,0
a19,0,0
a20,1,0
a21,0,1
a22,1,1
a23,1,0
a24,0,0
a26,1,1
a27,0,0
a28,1,0
a31,0,1
a32,0,0
a33,0,1
a34,1,1
a35,0,1
a37,1,1
a38,0,0
a39,0,0
a41,0,0
a43,0,1
a46,1,0
a49,1,0
a50,0,0
a51,1,0
a53,0,1
a55,1,0
a57,1,0
a58,0,0
a60,0,1
a62,0,0
a63,0,1
a64,1,0
a66,1,1
a67,0,0
a70,1,0
a74,0,0
a75,0,1
a78,0,0
a80,0,1
a81,0,0
a82,1,0
a83,0,0
a86,0,0
a88,0,0
a89,0,1
a90,0,1
a91,0,0
a93,0,0
a94,0,0
a96,0,0
a97,0,0
a98,1,1
a99,1,1
a100,1,0
a106,1,0
a109,0,0
a111,0,0
a112,0,0
a113,0,0
a114,0,0
a115,0,0
a117,0,0
a120,0,0
a121,0,0
a123,1,1
a124,0,0
a125,1,1
a127,1,1
a129,1,0
a131,1,0
a133,0,1
a135,0,1
a136,0,0
a138,0,1
a140,0,0
a141,1,0
a142,0,0
a144,0,0
a148,1,1
a150,1,0
a151,0,1
a153,1,1
a154,0,1
a155,1,0
a156,0,1
a157,0,0
a158,1,0
a159,0,0
a160,0,0
a161,0,0
a163,0,0
a165,1,0
a166,0,0
a167,1,0
a168,0,0
a173,0,0
a175,1,1
a177,1,1
a178,1,1
a180,0,0
a181,0,0
a183,1,0
a184,1,0
a188,1,0
a190,0,0
a191,1,0
a193,0,0
a194,0,0
a197,0,1
a200,0,0
a201,1,1
a202,0,0
a203,0,0
a206,0,0
a209,0,1
a211,1,1
a214,0,0
a216,1,1
a217,0,0
a218,1,0
a219,0,0
a220,0,1
a222,0,0
a225,0,1
a228,0,0
a229,0,0
a235,0,0
a236,0,1
a237,0,0
a245,1,1
a247,0,0
a249,1,0
a250,0,0
a254,0,1
a257,1,0
a259,1,0
a260,0,1
a5,0,0
a9,1,1
a13,1,0
a15,1,0
a17,1,0
a25,1,0
a42,1,0
a45,0,1
a52,0,0
a56,0,0
a65,0,0
a68,1,0
a71,1,0
a77,0,0
a79,1,0
a84,0,0
a87,1,0
a95,0,1
a101,1,0
a102,1,0
a104,1,1
a105,0,1
a110,1,0
a118,1,0
a119,0,1
a122,1,0
a126,1,0
a128,1,0
a130,0,0
a137,1,0
a139,0,0
a143,1,0
a146,1,0
a147,1,0
a164,1,1
a174,0,0
a179,0,0
a185,0,0
a186,1,0
a192,1,1
a196,0,0
a204,1,0
a210,1,0
a212,1,0
a213,1,0
a221,0,0
a223,0,1
a224,1,0
a227,1,1
a230,1,0
a240,1,0
a242,1,0
a243,1,0
a244,0,0
a246,0,0
a251,0,0
a255,0,0
a256,0,0
a258,0,0
a2,1,1
a18,1,0
a47,1,0
a48,1,0
a54,1,0
a59,0,1
a61,0,0
a69,1,0
a72,0,0
a76,0,0
a103,1,1
a107,1,0
a108,1,0
a116,0,0
a132,1,0
a149,0,0
a169,1,0
a171,0,0
a172,1,0
a182,0,1
a187,1,0
a189,0,0
a198,0,1
a199,1,0
a208,0,0
a231,0,0
a232,0,0
a233,1,1
a234,0,1
a238,0,0
a253,0,1
a30,1,0
a36,0,0
a44,1,0
a73,1,1
a92,0,1
a152,1,1
a162,1,0
a176,1,0
a205,1,0
a207,0,1
a215,0,0
a239,0,1
a241,1,0
a248,0,0
a252,1,1
a4,0,0
a29,0,0
a40,1,0
a85,0,1
a145,0,0
a195,0,0
a226,1,1
a170,0,0
a6,0,0
a134,1,0
