Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,0
a1,1,0
a2,1,1
a4,1,1
a5,1,1
a6,1,1
a7,1,1
a9,1,0
a10,1,1
a11,1,0
a12,1,1
a13,1,1
a14,1,0
a17,1,1
a18,1,0
a20,1,1
a22,1,1
a23,1,1
a24,0,0
a26,1,1
a27,1,0
a28,1,0
a30,1,1
a32,1,1
a33,1,0
a35,1,1
a36,1,1
a40,1,0
a44,1,1
a46,1,1
a47,1,0
a48,0,1
a50,1,0
a51,1,0
a53,1,1
a54,1,0
a56,1,0
a58,1,0
a60,1,1
a61,1,0
a62,1,0
a63,1,1
a3,1,1
a8,1,1
a15,1,1
a16,1,0
a19,1,0
a25,1,1
a41,1,1
a42,1,1
a45,0,1
a49,1,1
a52,1,1
a59,1,1
a65,1,1
a29,1,0
a34,1,1
a38,1,1
a55,1,1
a57,1,1
a64,1,0
a21,1,0
a31,1,0
a37,1,1
a39,1,1
a43,1,1
