Argument,In_Stability_Impact,Out_Stability_Impact
a4,1,1
a5,1,0
a7,1,0
a10,1,1
a19,1,1
a20,1,0
a21,1,1
a22,1,0
a23,1,0
a25,1,0
a26,1,0
a27,1,0
a30,1,0
a31,1,0
a33,1,0
a36,1,0
a37,1,0
a39,0,1
a40,1,0
a43,1,0
a45,1,0
a50,1,1
a51,1,1
a53,1,0
a55,1,1
a56,1,1
a57,1,1
a60,1,1
a61,1,0
a63,1,0
a64,1,0
a65,1,1
a1,1,1
a6,1,0
a8,1,0
a12,1,0
a13,1,0
a18,1,0
a28,1,0
a29,1,0
a32,1,1
a38,1,1
a44,1,1
a46,1,0
a48,1,1
a49,1,1
a52,1,1
a54,1,1
a59,1,1
a0,1,0
a2,1,1
a3,1,1
a9,1,0
a11,1,0
a16,1,1
a24,1,0
a34,1,1
a35,1,1
a41,1,0
a42,1,0
a62,1,1
a14,1,1
a15,0,1
a47,1,1
a58,1,1
a17,1,1
