Argument,In_Stability_Impact,Out_Stability_Impact
a2,1,0
a3,1,1
a5,1,1
a6,0,0
a8,1,0
a9,1,1
a14,0,0
a16,1,0
a18,0,1
a19,1,1
a23,0,0
a25,1,0
a28,1,0
a29,1,1
a30,1,0
a33,1,1
a35,0,1
a36,1,1
a42,1,1
a43,0,1
a46,1,1
a50,0,0
a51,1,0
a52,1,0
a53,0,1
a56,1,0
a57,0,1
a61,1,0
a62,1,0
a63,0,1
a64,1,1
a65,0,1
a67,1,0
a69,0,1
a70,1,0
a71,1,1
a73,0,0
a74,0,1
a75,0,0
a77,0,1
a79,0,0
a80,0,1
a82,0,1
a83,1,0
a86,0,1
a87,0,1
a89,0,0
a90,1,0
a91,0,1
a95,0,0
a97,1,1
a98,1,0
a100,0,1
a101,0,0
a102,0,0
a103,1,1
a106,1,1
a107,0,0
a108,1,1
a109,0,0
a110,1,1
a111,0,1
a113,0,0
a114,1,1
a115,1,1
a118,1,0
a119,1,1
a120,1,0
a122,0,1
a123,1,1
a124,1,0
a126,0,0
a127,0,1
a129,1,1
a131,0,0
a132,1,1
a133,1,0
a135,1,0
a137,0,1
a138,0,1
a139,0,1
a144,0,1
a145,1,1
a147,1,1
a148,0,0
a151,0,1
a154,0,1
a155,1,0
a156,1,1
a157,0,1
a158,0,1
a159,0,0
a160,0,0
a161,1,1
a162,1,0
a163,0,1
a164,0,1
a166,1,1
a167,0,1
a170,0,0
a171,1,1
a173,0,0
a175,0,0
a0,0,1
a7,0,0
a10,0,1
a11,1,1
a12,1,1
a15,0,0
a20,1,1
a21,1,0
a22,0,0
a24,0,0
a26,0,1
a27,1,1
a32,1,1
a41,1,0
a44,0,0
a49,0,1
a55,0,1
a58,1,1
a59,1,1
a60,0,0
a68,0,1
a72,0,0
a76,0,1
a84,1,1
a85,1,0
a92,0,1
a94,1,1
a99,1,0
a104,1,1
a112,0,1
a117,1,1
a121,0,0
a125,1,1
a130,0,0
a134,0,1
a136,0,1
a140,1,0
a141,0,0
a150,1,1
a152,0,1
a169,0,1
a172,0,1
a174,0,0
a4,1,1
a13,1,0
a17,1,1
a31,1,1
a34,0,0
a37,1,1
a38,1,1
a39,0,1
a45,1,0
a47,0,1
a54,0,1
a88,0,1
a96,1,0
a105,0,1
a116,1,1
a128,0,1
a143,0,1
a153,1,1
a66,1,0
a78,0,1
a81,1,1
a93,1,0
a146,1,1
a149,0,0
a168,0,0
a1,1,1
a40,0,0
a142,0,1
a165,1,0
a48,1,1
