Argument,In_Stability_Impact,Out_Stability_Impact
a1,1,1
a4,1,1
a5,1,1
a6,1,0
a7,0,1
a9,1,0
a10,1,1
a11,0,0
a13,0,1
a15,1,1
a17,1,0
a20,0,1
a21,0,0
a22,0,0
a23,1,0
a25,1,0
a27,1,1
a28,1,1
a29,1,0
a32,0,0
a34,0,1
a37,1,0
a38,1,0
a39,0,1
a40,1,1
a44,1,1
a46,0,1
a47,1,1
a48,1,1
a50,0,1
a51,1,0
a52,1,1
a53,1,0
a54,1,1
a55,0,1
a58,1,1
a60,0,0
a62,0,0
a63,1,1
a64,1,1
a65,1,1
a66,1,0
a71,1,1
a72,1,0
a73,0,0
a76,0,0
a77,0,1
a78,1,1
a80,1,0
a81,1,1
a84,0,0
a85,1,0
a86,1,0
a88,1,1
a90,0,0
a91,1,0
a93,0,1
a96,0,1
a97,1,1
a98,1,0
a99,1,0
a100,0,1
a102,0,1
a105,0,1
a108,0,1
a109,0,0
a111,0,0
a113,1,1
a115,1,1
a116,1,1
a117,1,0
a119,1,1
a121,1,0
a126,0,1
a130,0,1
a131,1,1
a132,0,0
a133,0,1
a135,0,0
a137,0,0
a138,0,1
a140,0,1
a142,1,1
a143,1,0
a145,0,1
a146,0,1
a149,0,0
a150,1,0
a152,1,1
a153,0,0
a14,0,1
a16,0,1
a18,1,1
a19,1,1
a24,0,0
a30,1,0
a33,1,0
a43,1,1
a45,1,1
a49,0,0
a56,1,0
a59,0,0
a61,1,1
a68,1,0
a69,1,0
a74,0,0
a75,0,1
a79,0,1
a82,0,1
a83,0,0
a89,0,1
a94,1,0
a95,0,0
a101,0,0
a104,0,0
a106,0,0
a110,1,1
a112,0,1
a114,0,1
a120,0,0
a122,0,0
a124,0,0
a128,1,1
a129,1,1
a136,0,0
a147,0,1
a148,1,0
a151,0,0
a0,1,1
a2,1,0
a8,0,1
a26,1,0
a35,1,1
a41,0,1
a67,0,0
a92,0,1
a125,1,1
a141,0,1
a155,0,0
a3,0,0
a42,0,0
a87,1,1
a103,0,0
a107,1,0
a127,0,1
a139,0,0
a154,1,1
a12,0,1
a31,1,1
a118,0,1
a70,1,0
a123,0,0
a57,1,0
a144,0,1
a134,0,1
a36,1,1
