Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,1
a1,0,1
a2,1,0
a4,1,1
a5,0,1
a6,0,1
a11,1,0
a12,0,0
a13,0,1
a14,0,1
a16,1,1
a17,1,1
a18,1,0
a19,1,1
a22,1,1
a23,1,1
a25,1,1
a26,1,1
a29,1,0
a30,1,1
a31,0,0
a32,1,0
a33,1,0
a36,0,0
a38,1,1
a39,1,0
a40,0,0
a42,0,1
a47,1,1
a49,0,1
a51,1,0
a53,1,0
a54,0,0
a55,0,0
a56,1,0
a60,0,1
a65,0,0
a66,1,1
a67,1,0
a69,0,0
a71,1,0
a74,1,0
a79,1,0
a80,0,0
a81,1,0
a84,1,0
a85,1,1
a86,1,0
a87,1,1
a88,0,1
a89,0,1
a90,0,1
a92,1,1
a95,1,0
a99,0,0
a100,1,0
a105,0,0
a107,1,1
a108,1,0
a109,0,1
a114,0,1
a118,1,0
a119,1,0
a120,1,0
a122,1,1
a124,1,0
a125,1,0
a127,1,1
a128,1,0
a130,1,0
a132,0,1
a133,0,1
a135,1,0
a136,0,0
a138,1,1
a139,0,0
a140,0,1
a141,1,0
a143,1,1
a147,0,1
a148,0,0
a150,0,0
a152,0,0
a153,1,0
a154,1,0
a155,1,0
a158,0,0
a160,0,1
a163,0,0
a164,0,0
a165,1,1
a171,0,0
a173,0,0
a174,0,0
a175,0,1
a176,1,0
a177,0,0
a180,0,0
a181,0,0
a184,0,1
a186,1,1
a187,1,1
a189,1,1
a191,1,0
a196,0,0
a197,1,1
a198,1,1
a199,1,0
a201,0,1
a203,1,0
a204,1,1
a205,1,0
a207,0,0
a209,0,0
a210,1,0
a213,1,0
a215,1,0
a216,1,0
a220,1,1
a222,1,1
a223,1,0
a224,1,1
a225,0,1
a226,0,1
a228,0,1
a229,0,0
a233,0,1
a234,0,0
a236,1,1
a238,1,1
a239,1,0
a242,1,0
a244,1,0
a245,0,0
a246,1,0
a247,0,0
a249,1,0
a251,1,1
a252,0,1
a253,1,0
a254,0,0
a255,1,1
a258,0,0
a262,0,1
a263,0,0
a264,1,0
a265,0,0
a267,1,0
a268,0,0
a269,1,1
a272,0,0
a274,0,0
a275,1,1
a278,1,1
a279,1,1
a281,1,0
a282,1,1
a283,1,0
a284,0,1
a286,0,0
a287,0,0
a291,0,0
a296,0,0
a301,1,0
a307,1,1
a308,0,0
a310,0,1
a311,1,0
a312,0,1
a313,0,1
a314,0,0
a315,0,0
a316,1,0
a318,0,1
a323,1,1
a326,0,0
a328,0,0
a331,1,0
a335,1,1
a336,1,0
a337,0,0
a338,0,1
a340,0,1
a342,0,0
a343,1,0
a345,0,0
a9,0,1
a15,1,1
a20,0,1
a21,0,1
a24,0,1
a27,1,0
a34,1,0
a37,1,1
a44,1,1
a45,1,0
a46,0,1
a48,0,0
a52,1,0
a57,0,1
a58,0,1
a61,0,0
a68,1,1
a70,0,0
a73,1,0
a77,0,1
a78,1,0
a82,0,0
a83,1,0
a93,1,0
a96,0,0
a97,0,0
a98,1,0
a101,1,0
a102,0,1
a106,1,0
a111,1,0
a112,1,0
a121,1,1
a131,0,0
a134,0,1
a144,1,1
a146,0,0
a151,1,1
a156,1,0
a159,1,0
a162,0,0
a167,0,0
a168,1,0
a169,1,0
a170,1,1
a178,1,0
a183,1,0
a188,1,0
a194,1,1
a200,0,0
a202,0,0
a208,0,0
a211,0,0
a214,0,0
a218,1,0
a221,1,1
a227,0,1
a230,1,0
a231,1,0
a235,1,0
a241,1,1
a243,0,1
a248,1,0
a250,1,0
a257,1,0
a266,0,0
a271,1,0
a276,1,0
a277,0,0
a285,0,0
a288,0,0
a292,0,0
a294,0,0
a295,1,0
a297,0,0
a298,1,0
a302,1,1
a304,0,0
a317,1,0
a319,0,0
a321,0,0
a324,1,0
a325,0,1
a332,0,0
a334,0,1
a339,0,1
a341,0,0
a344,0,1
a3,0,1
a7,1,0
a8,1,0
a28,0,1
a35,0,0
a41,0,1
a50,1,1
a63,0,1
a72,1,1
a76,1,0
a91,0,1
a104,1,0
a113,1,0
a115,0,0
a116,0,0
a123,1,0
a129,0,0
a137,0,0
a142,1,1
a161,0,0
a166,1,1
a172,1,0
a185,1,0
a190,1,0
a192,0,0
a193,1,0
a195,0,0
a217,1,0
a219,1,1
a232,1,0
a237,1,0
a240,0,1
a256,1,1
a260,1,0
a270,0,0
a273,1,0
a280,0,0
a306,0,1
a43,1,0
a59,0,1
a62,0,0
a75,1,0
a94,0,1
a103,1,0
a126,1,1
a179,1,0
a182,0,0
a206,0,1
a212,1,0
a261,0,1
a289,0,0
a290,0,0
a293,0,0
a303,1,1
a305,1,0
a322,0,0
a330,1,0
a64,1,0
a110,1,0
a117,0,0
a145,0,1
a299,0,0
a320,0,1
a149,1,1
a259,1,0
a300,0,0
a10,1,0
a157,1,0
a333,0,1
a327,0,0
a329,0,0
a309,0,0
