Argument,In_Stability_Impact,Out_Stability_Impact
a1,1,0
a4,1,0
a5,1,0
a6,1,0
a7,1,0
a10,0,1
a15,1,1
a16,1,0
a17,1,1
a19,0,0
a23,0,0
a27,1,0
a28,1,0
a29,1,0
a30,0,0
a31,1,0
a35,0,0
a36,0,0
a37,0,1
a38,0,0
a39,1,0
a41,1,0
a43,0,0
a46,0,1
a48,1,1
a51,1,0
a53,1,0
a55,1,0
a56,1,0
a58,0,0
a59,0,0
a62,0,1
a63,1,0
a64,1,0
a66,1,0
a67,1,0
a68,1,0
a70,1,0
a72,0,0
a75,1,0
a76,0,0
a78,1,0
a79,1,0
a0,1,0
a3,1,0
a12,0,0
a14,1,0
a20,1,0
a22,1,0
a26,1,0
a32,0,1
a34,1,1
a42,1,1
a44,1,0
a45,1,0
a50,1,0
a52,1,0
a57,1,0
a60,0,0
a61,1,0
a69,0,0
a71,0,0
a73,0,0
a77,1,0
a2,0,0
a8,1,0
a11,1,0
a18,1,0
a21,1,0
a24,1,1
a25,1,0
a40,1,0
a54,1,0
a65,1,1
a74,0,0
a49,1,0
a13,1,0
a33,0,0
a47,1,0
a9,1,0
