Argument,In_Stability_Impact,Out_Stability_Impact
a2,1,1
a6,1,1
a7,1,1
a10,0,0
a12,1,1
a16,1,1
a18,1,0
a21,1,1
a23,1,1
a25,1,1
a26,1,1
a27,0,0
a29,0,1
a30,1,1
a33,0,0
a34,1,0
a36,0,0
a38,0,0
a40,0,1
a41,1,0
a45,1,0
a46,0,0
a47,0,1
a49,0,0
a50,1,1
a51,1,1
a53,0,0
a54,1,1
a55,1,1
a58,1,1
a59,0,0
a64,0,0
a65,0,1
a66,1,1
a67,0,1
a0,1,0
a8,1,0
a13,1,0
a17,1,1
a22,0,0
a28,1,0
a31,1,0
a37,1,1
a43,1,0
a44,1,1
a48,0,0
a52,1,1
a56,0,1
a57,1,0
a61,0,1
a62,0,0
a63,0,0
a68,1,1
a69,0,1
a1,1,1
a3,1,1
a5,0,1
a15,1,1
a32,1,1
a35,0,0
a42,0,1
a60,1,0
a70,0,1
a4,0,0
a9,0,1
a11,0,1
a14,1,1
a20,0,0
a24,0,0
a39,0,0
a19,1,0
