Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,1
a1,0,1
a2,0,0
a7,0,1
a11,1,0
a12,1,1
a14,0,0
a16,1,0
a18,1,0
a19,1,0
a21,0,0
a22,1,0
a25,0,1
a26,0,0
a27,1,0
a28,1,1
a29,0,0
a32,1,1
a33,1,0
a34,0,0
a36,1,1
a37,1,1
a38,1,0
a43,1,0
a47,0,0
a50,1,1
a51,0,1
a52,0,0
a53,0,0
a57,1,1
a58,0,0
a59,1,0
a61,0,0
a63,1,0
a68,1,1
a69,1,0
a70,1,0
a71,0,0
a72,0,0
a75,0,1
a76,1,0
a78,1,0
a83,0,0
a84,0,1
a88,1,1
a91,1,1
a92,0,0
a93,0,0
a94,1,1
a98,1,0
a99,1,0
a100,1,0
a111,1,1
a113,1,1
a115,0,1
a116,1,0
a117,1,0
a119,1,0
a120,0,1
a121,0,1
a125,0,1
a126,1,1
a127,1,1
a128,1,1
a131,0,1
a132,0,1
a135,0,1
a136,0,1
a137,1,0
a138,0,1
a139,0,1
a141,1,0
a142,0,0
a144,0,0
a146,0,0
a148,0,0
a149,1,0
a150,1,0
a151,0,0
a152,0,1
a153,0,0
a154,1,1
a156,0,0
a157,0,0
a158,0,1
a159,0,0
a161,1,0
a163,0,1
a170,0,0
a171,1,1
a172,0,1
a173,0,1
a174,0,0
a176,1,1
a177,1,1
a179,0,0
a181,1,0
a185,0,1
a187,1,0
a188,1,1
a189,0,1
a190,0,0
a191,1,0
a192,0,1
a195,0,0
a198,1,0
a200,0,1
a203,1,1
a204,0,0
a208,1,0
a209,1,1
a210,1,0
a212,1,0
a213,1,0
a214,1,1
a215,0,1
a217,0,0
a223,1,0
a224,0,0
a225,0,1
a228,1,1
a229,0,1
a230,1,1
a231,0,0
a232,0,1
a233,0,1
a236,0,0
a237,0,0
a238,1,0
a239,0,1
a241,0,0
a242,0,1
a244,1,1
a245,0,1
a246,0,1
a247,1,0
a248,1,0
a249,0,1
a250,1,0
a251,0,0
a252,1,1
a254,0,1
a255,0,1
a257,0,0
a259,1,0
a261,1,0
a262,0,1
a264,0,1
a266,1,1
a268,0,1
a270,0,0
a271,0,1
a272,0,1
a273,0,1
a274,0,1
a280,0,0
a281,0,1
a282,0,1
a283,1,0
a284,0,0
a288,1,0
a289,0,1
a293,1,0
a295,0,0
a3,0,1
a4,0,0
a6,0,0
a8,1,0
a9,1,0
a13,1,1
a20,1,1
a23,0,1
a31,1,0
a35,0,0
a39,1,0
a40,1,1
a42,1,1
a44,1,1
a48,1,0
a54,0,1
a55,1,0
a60,1,1
a62,0,1
a65,0,0
a66,1,1
a67,1,0
a77,1,0
a80,0,1
a85,1,0
a86,1,1
a87,0,0
a89,1,1
a90,1,1
a95,0,1
a96,1,1
a97,1,1
a101,1,1
a103,1,1
a104,1,1
a107,0,0
a108,0,1
a110,1,1
a112,0,1
a114,1,1
a118,0,1
a123,1,0
a124,0,0
a129,0,0
a130,0,0
a133,0,1
a134,1,1
a143,0,0
a145,1,1
a147,0,1
a155,0,1
a160,0,0
a164,1,0
a165,1,1
a166,1,1
a167,0,1
a169,0,1
a178,0,0
a182,0,0
a183,1,1
a184,0,1
a186,1,0
a197,1,0
a199,0,1
a202,0,1
a205,0,0
a216,0,1
a218,1,0
a220,1,1
a221,0,1
a222,1,0
a226,1,0
a227,0,1
a234,0,0
a253,0,0
a256,1,1
a260,0,1
a263,1,1
a267,0,1
a275,0,1
a276,1,1
a277,1,1
a278,0,0
a285,1,0
a290,1,1
a10,1,1
a15,1,0
a24,0,1
a30,1,1
a41,0,1
a46,1,0
a73,1,0
a74,1,0
a81,1,0
a82,0,0
a102,1,0
a105,1,0
a180,1,1
a201,0,1
a207,1,0
a219,1,0
a235,0,1
a243,1,0
a269,0,1
a286,0,1
a287,1,0
a294,0,1
a17,0,0
a45,0,1
a56,0,1
a79,1,0
a106,0,0
a140,0,1
a168,0,0
a193,0,0
a194,0,1
a206,1,0
a291,1,1
a5,1,1
a49,1,0
a64,1,0
a122,1,0
a162,1,1
a175,0,0
a240,1,1
a258,0,0
a265,0,0
a279,1,1
a109,1,1
a211,0,1
a196,0,1
a292,0,0
