Argument,In_Stability_Impact,Out_Stability_Impact
a3,1,0
a4,1,1
a5,1,1
a7,1,1
a8,1,1
a10,1,1
a11,1,0
a13,1,1
a15,1,0
a16,1,0
a19,1,1
a20,1,1
a21,1,1
a22,1,1
a23,1,1
a26,1,0
a27,1,1
a30,1,1
a33,1,1
a35,1,1
a37,1,0
a40,1,0
a41,1,1
a47,1,1
a49,1,1
a50,1,0
a51,1,0
a54,1,1
a56,1,1
a57,1,1
a59,1,1
a61,1,1
a62,1,1
a63,1,1
a70,1,0
a71,1,0
a2,1,0
a17,1,1
a18,1,0
a25,1,0
a28,1,1
a29,1,1
a34,1,1
a36,1,1
a42,1,0
a43,1,0
a44,1,1
a45,1,0
a46,1,0
a48,1,1
a52,1,0
a55,1,1
a58,1,1
a65,1,0
a66,1,1
a73,1,1
a74,1,1
a75,1,1
a0,1,0
a6,1,1
a9,1,1
a12,1,1
a14,1,0
a31,1,1
a32,1,0
a38,1,1
a39,1,1
a53,1,1
a60,1,0
a64,1,1
a67,1,1
a69,1,1
a1,1,1
a24,1,0
a68,1,1
a72,1,0
