Argument,In_Stability_Impact,Out_Stability_Impact
a2,0,1
a4,1,0
a5,1,1
a6,1,0
a8,1,1
a9,1,0
a12,0,0
a14,0,1
a15,1,0
a16,0,0
a20,1,0
a23,1,0
a24,1,1
a26,1,0
a33,1,0
a35,1,1
a36,1,1
a37,0,0
a38,0,0
a39,1,0
a40,0,0
a42,0,0
a43,1,0
a45,1,0
a47,0,1
a48,0,0
a49,1,1
a50,0,1
a51,0,1
a55,0,1
a56,0,1
a58,1,0
a59,1,0
a61,0,1
a65,0,1
a66,0,1
a68,0,0
a69,1,0
a70,1,0
a71,1,1
a72,1,0
a75,0,0
a78,1,1
a79,1,0
a81,0,1
a82,0,0
a83,1,0
a88,0,0
a92,1,0
a96,1,1
a97,0,0
a99,1,0
a100,1,1
a102,0,0
a103,1,0
a105,1,1
a106,0,0
a107,1,0
a108,1,1
a109,0,0
a110,1,0
a111,0,1
a113,1,0
a123,0,0
a124,0,1
a125,0,0
a127,1,0
a128,1,1
a130,0,1
a132,1,0
a133,1,0
a138,0,1
a139,0,0
a140,1,1
a141,0,0
a142,1,0
a144,1,0
a145,1,1
a149,1,0
a150,0,0
a154,1,0
a157,0,1
a163,1,0
a164,1,1
a165,1,0
a167,0,0
a169,0,0
a171,1,0
a174,0,0
a176,0,0
a177,0,1
a180,1,1
a181,0,0
a182,1,0
a187,0,0
a195,0,1
a196,0,0
a197,0,1
a198,0,0
a199,0,0
a200,1,0
a201,0,0
a202,0,0
a203,1,1
a204,1,0
a205,1,1
a206,0,0
a207,1,0
a208,0,0
a209,1,1
a211,1,1
a212,0,0
a213,0,1
a214,1,0
a215,0,1
a216,1,0
a217,1,0
a218,1,0
a219,0,1
a221,1,1
a222,0,0
a224,0,0
a226,0,0
a228,0,1
a230,1,0
a231,1,0
a232,0,0
a236,0,1
a238,0,0
a239,0,1
a242,1,0
a246,0,0
a248,0,0
a249,1,0
a251,0,0
a254,1,0
a256,1,0
a259,1,1
a261,0,0
a262,0,0
a263,0,1
a264,1,0
a266,1,0
a267,0,0
a269,0,0
a273,0,1
a275,0,0
a279,1,0
a280,0,0
a281,0,0
a282,0,0
a283,0,0
a284,0,0
a285,0,1
a286,1,0
a287,0,1
a288,0,0
a289,1,1
a3,0,1
a10,1,0
a22,0,1
a25,0,0
a28,1,0
a29,0,1
a32,1,0
a34,1,0
a41,0,1
a53,1,0
a60,1,0
a64,0,1
a73,0,0
a80,1,1
a85,1,0
a89,0,0
a90,0,0
a93,1,0
a98,0,0
a101,1,0
a104,1,1
a115,0,0
a116,0,0
a117,0,0
a121,1,0
a122,1,1
a131,1,0
a134,1,1
a135,1,0
a136,0,0
a153,1,0
a156,1,0
a158,1,1
a160,1,0
a161,0,0
a162,0,0
a168,0,0
a173,1,0
a178,1,0
a179,0,0
a186,0,0
a190,0,1
a192,0,1
a193,0,1
a194,1,0
a220,1,1
a227,1,0
a229,0,1
a234,0,1
a235,1,0
a237,0,0
a243,1,0
a244,0,0
a245,0,1
a247,0,0
a250,1,0
a252,0,0
a255,0,1
a257,0,0
a258,1,0
a265,1,1
a270,0,0
a272,0,0
a274,1,0
a277,1,0
a278,0,0
a290,0,0
a11,0,1
a13,1,0
a18,0,1
a54,1,1
a57,0,0
a74,0,0
a76,1,0
a84,0,0
a86,1,0
a91,1,1
a118,1,0
a119,0,1
a126,0,0
a129,0,0
a137,1,0
a146,0,0
a147,1,1
a148,1,0
a151,0,0
a170,1,0
a172,0,1
a175,1,0
a183,1,0
a184,0,0
a188,0,1
a189,0,0
a210,0,0
a233,0,0
a276,0,1
a1,1,1
a7,1,1
a17,1,0
a21,0,1
a27,0,1
a31,0,0
a44,1,0
a46,0,0
a52,1,0
a63,1,0
a95,1,0
a112,1,0
a114,1,1
a120,0,0
a143,0,0
a152,0,0
a155,0,0
a166,1,0
a185,0,0
a223,1,1
a225,1,0
a240,0,0
a241,1,0
a253,1,0
a271,0,0
a30,1,0
a62,0,0
a77,0,1
a94,1,0
a159,1,0
a268,1,0
a0,1,1
a87,0,0
a260,0,0
a19,1,1
a67,0,1
a191,0,0
