Argument,In_Stability_Impact,Out_Stability_Impact
a1,1,1
a2,0,0
a6,0,1
a10,1,1
a12,1,0
a13,0,1
a15,0,1
a16,1,0
a17,1,0
a18,0,1
a19,1,0
a21,1,1
a22,0,1
a23,1,1
a25,0,0
a27,0,0
a28,0,1
a31,0,0
a33,1,0
a37,0,1
a39,1,0
a40,0,1
a42,1,0
a43,1,0
a45,0,1
a46,1,0
a47,1,1
a50,0,1
a51,1,1
a52,0,0
a54,1,1
a55,1,1
a56,1,0
a57,0,1
a58,1,1
a60,0,0
a61,0,1
a62,0,0
a63,1,1
a65,1,1
a66,1,1
a67,1,1
a68,0,1
a70,0,0
a71,0,0
a73,0,1
a74,0,0
a77,0,0
a78,1,1
a79,1,0
a81,0,0
a82,0,1
a85,0,1
a0,0,1
a3,0,0
a4,1,0
a5,0,1
a9,0,1
a11,0,0
a14,1,1
a20,1,1
a24,1,1
a29,0,1
a34,1,1
a38,0,0
a44,0,0
a48,1,1
a49,1,1
a53,1,1
a69,0,1
a72,0,0
a30,0,1
a32,1,0
a35,0,0
a64,0,1
a75,1,0
a80,1,1
a83,0,1
a8,0,1
a26,1,1
a41,0,1
a59,1,0
a76,1,1
a7,1,0
a36,1,1
a84,0,1
