Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,0
a1,1,0
a2,1,1
a4,1,0
a5,1,0
a6,0,0
a7,0,0
a10,1,1
a12,1,0
a14,0,1
a17,1,0
a18,1,0
a22,0,0
a23,1,0
a24,0,0
a27,0,0
a30,0,1
a32,1,1
a33,0,1
a34,1,0
a35,1,0
a36,0,0
a38,1,0
a39,1,0
a40,1,0
a42,1,0
a43,1,0
a45,0,0
a46,1,1
a47,0,0
a49,1,0
a50,1,1
a51,1,0
a52,1,0
a53,1,1
a55,1,0
a56,0,0
a57,1,0
a60,1,0
a61,1,0
a62,1,0
a63,1,1
a65,1,0
a68,1,0
a69,0,0
a70,1,1
a72,1,0
a73,0,1
a74,0,0
a78,1,0
a79,1,0
a81,1,0
a83,1,0
a84,0,0
a85,1,0
a88,1,1
a89,1,0
a92,0,1
a95,0,1
a96,1,0
a97,1,0
a101,1,0
a102,1,0
a104,1,0
a105,1,0
a106,1,0
a108,1,1
a110,1,1
a112,1,0
a114,1,0
a116,1,0
a119,0,0
a9,1,1
a13,0,1
a15,1,0
a20,1,0
a21,0,1
a26,1,0
a31,1,0
a37,1,1
a41,1,0
a54,1,0
a66,1,1
a71,1,0
a77,1,0
a86,1,0
a87,1,0
a90,1,0
a91,1,0
a93,1,1
a94,0,0
a99,0,1
a107,1,1
a111,1,0
a115,0,1
a117,1,1
a118,1,1
a11,1,0
a19,1,0
a25,1,0
a29,1,1
a44,1,0
a58,1,0
a67,1,1
a76,1,1
a80,1,0
a98,1,0
a48,1,0
a59,1,0
a64,1,0
a103,0,0
a3,0,0
a28,1,0
a82,1,0
a100,1,0
a109,1,0
a113,1,0
a8,1,0
a75,1,0
a16,1,0
