Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,0
a1,0,1
a2,0,1
a3,1,0
a4,1,1
a5,0,1
a6,1,1
a7,1,1
a9,1,0
a10,1,1
a12,0,1
a13,1,0
a15,1,0
a16,1,0
a17,1,0
a18,0,1
a19,0,1
a21,1,1
a23,0,0
a24,1,1
a26,0,1
a28,1,1
a29,1,0
a31,1,0
a33,1,0
a34,0,1
a35,1,1
a36,0,1
a37,1,0
a39,1,0
a41,1,0
a42,1,0
a43,0,1
a44,0,0
a45,0,0
a46,0,0
a49,1,1
a51,0,0
a53,1,0
a55,0,1
a57,1,1
a58,1,0
a60,1,0
a61,0,1
a62,0,0
a63,1,0
a66,0,0
a68,0,0
a69,0,1
a70,1,1
a72,0,1
a73,0,0
a74,0,0
a78,1,1
a79,0,0
a80,0,1
a82,0,0
a83,1,1
a86,0,1
a87,0,0
a88,0,1
a91,1,1
a93,0,0
a94,0,1
a95,1,0
a96,0,1
a98,1,0
a99,0,1
a100,1,0
a101,1,0
a102,0,1
a103,0,1
a104,0,1
a105,1,1
a106,0,0
a108,1,0
a110,1,1
a112,0,1
a113,0,1
a116,1,1
a120,1,1
a123,0,1
a124,0,0
a125,1,1
a127,1,1
a128,0,1
a129,0,1
a131,1,0
a132,1,1
a133,1,1
a136,0,0
a137,0,0
a140,0,1
a142,1,0
a143,0,1
a144,0,0
a145,0,0
a147,0,1
a148,0,1
a149,0,1
a8,0,0
a11,0,0
a14,1,1
a20,1,0
a22,1,0
a27,1,0
a30,0,1
a38,1,0
a47,1,0
a50,0,1
a54,1,1
a59,1,0
a64,0,1
a67,1,0
a71,0,0
a77,0,1
a84,0,1
a85,1,1
a89,1,1
a92,1,1
a97,1,1
a109,0,1
a111,0,0
a114,0,0
a115,0,1
a130,1,0
a134,1,1
a138,0,1
a139,0,0
a141,0,0
a146,1,1
a150,0,1
a32,1,0
a48,0,1
a56,1,0
a75,1,1
a107,0,1
a118,1,0
a121,1,1
a122,0,1
a25,0,0
a40,1,1
a65,1,0
a76,1,0
a90,0,1
a117,1,0
a119,0,0
a135,0,1
a52,1,0
a81,1,0
a126,0,0
