Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,0
a2,1,0
a3,0,0
a4,1,1
a5,0,0
a7,1,0
a8,1,0
a9,1,0
a11,1,0
a12,1,0
a13,1,0
a14,1,1
a15,1,0
a16,1,0
a17,0,0
a19,1,0
a20,1,0
a23,1,0
a25,1,1
a26,1,0
a28,1,0
a30,1,0
a31,0,0
a35,1,0
a38,1,1
a39,1,0
a40,1,0
a41,0,0
a43,1,0
a46,1,0
a48,0,1
a49,1,0
a50,1,0
a53,1,0
a54,1,0
a55,1,0
a57,1,0
a58,0,0
a59,1,1
a60,0,0
a61,1,1
a62,1,0
a64,1,0
a65,1,1
a68,0,1
a71,1,0
a72,1,0
a74,0,1
a75,1,0
a76,1,1
a80,1,0
a81,0,0
a82,1,0
a83,1,1
a85,0,0
a86,1,0
a88,0,1
a89,1,0
a91,1,1
a93,1,0
a99,0,0
a6,1,0
a18,0,0
a27,1,1
a33,0,0
a34,1,0
a42,0,0
a47,1,1
a52,1,0
a67,1,0
a69,0,0
a70,1,1
a79,1,0
a87,1,0
a92,1,0
a97,1,0
a98,1,0
a22,1,0
a29,1,0
a32,0,1
a37,0,0
a44,1,0
a45,1,0
a66,1,0
a77,0,0
a90,0,0
a95,1,0
a24,0,1
a56,0,1
a73,0,0
a94,1,0
a96,0,1
a1,1,0
a21,1,0
a36,0,1
a51,1,0
a63,1,1
a84,1,1
a78,0,0
a10,1,1
