Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,0
a1,1,0
a3,0,1
a5,1,0
a6,1,0
a8,1,0
a9,1,0
a10,0,0
a11,1,0
a14,0,1
a15,0,0
a16,1,1
a17,1,0
a18,1,1
a22,0,0
a23,0,1
a24,0,0
a27,1,0
a28,0,1
a30,0,1
a32,1,0
a33,1,0
a35,0,0
a37,1,0
a38,0,0
a40,1,0
a41,1,0
a44,1,0
a45,1,0
a49,1,0
a50,0,1
a55,1,0
a57,0,0
a61,1,0
a64,1,1
a65,1,1
a66,1,0
a70,1,0
a72,0,1
a74,1,0
a78,1,0
a79,1,0
a83,1,0
a84,1,1
a85,0,0
a86,1,1
a88,1,1
a91,1,0
a92,0,1
a93,1,0
a94,1,0
a98,1,0
a99,1,1
a2,1,0
a4,1,0
a7,1,0
a12,0,0
a13,1,0
a19,1,0
a21,1,1
a26,1,0
a29,1,0
a46,1,1
a47,1,0
a51,1,1
a52,1,0
a53,0,1
a54,0,0
a58,1,0
a59,1,0
a60,0,0
a67,0,0
a68,0,0
a69,1,0
a73,1,0
a75,1,0
a76,1,1
a81,1,0
a82,1,0
a87,1,0
a89,1,0
a90,0,0
a95,1,0
a96,1,1
a25,1,1
a34,1,0
a36,1,0
a48,1,0
a56,0,0
a71,0,1
a77,1,1
a80,1,1
a97,1,0
a39,0,1
a42,1,0
a43,1,0
a63,1,0
a20,1,0
a62,1,0
a31,1,0
