Argument,In_Stability_Impact,Out_Stability_Impact
a0,1,1
a3,1,1
a4,1,0
a5,1,1
a6,1,0
a7,1,1
a9,1,0
a10,1,1
a13,0,0
a14,0,0
a16,1,0
a18,0,0
a23,1,0
a24,0,1
a27,0,0
a28,1,0
a31,0,0
a35,1,1
a37,1,1
a38,1,1
a40,1,1
a41,1,1
a42,0,0
a43,1,0
a46,1,0
a50,0,1
a51,1,1
a52,1,1
a55,1,1
a57,0,1
a58,1,1
a62,0,1
a63,0,0
a64,0,1
a65,0,1
a67,1,1
a68,0,1
a71,1,1
a72,1,1
a76,0,0
a78,1,1
a80,1,1
a82,0,0
a83,0,0
a84,0,0
a87,0,0
a88,0,1
a89,0,0
a91,0,1
a94,0,1
a96,1,0
a98,0,1
a99,0,0
a100,0,1
a101,1,1
a106,1,1
a107,1,1
a109,0,1
a110,0,0
a113,1,0
a114,1,1
a115,1,1
a116,0,1
a119,0,0
a120,0,0
a121,0,0
a123,0,1
a124,1,0
a125,1,1
a127,1,0
a128,1,1
a129,1,1
a130,1,1
a132,0,1
a134,0,1
a136,0,0
a137,0,1
a138,0,0
a139,1,1
a142,0,1
a144,1,1
a1,1,1
a2,0,1
a11,1,1
a15,1,1
a20,1,1
a21,1,1
a22,1,0
a25,1,0
a29,1,1
a30,1,0
a32,1,0
a33,0,0
a34,0,1
a39,0,1
a44,1,0
a45,0,0
a47,1,0
a48,1,1
a54,0,1
a61,1,1
a66,0,1
a69,0,1
a73,0,1
a74,0,1
a77,1,1
a79,0,1
a85,0,1
a86,0,1
a95,0,1
a97,1,0
a103,0,1
a118,1,1
a122,0,0
a126,0,1
a133,1,1
a135,1,1
a140,0,1
a141,1,0
a12,0,1
a17,0,1
a36,0,1
a53,0,1
a59,1,0
a70,0,1
a90,0,1
a93,0,0
a104,1,1
a105,0,1
a112,0,1
a131,0,1
a8,1,0
a19,1,0
a49,0,1
a60,1,0
a75,0,0
a81,0,1
a102,0,1
a108,0,0
a117,1,0
a143,0,1
a26,1,1
a56,1,0
a92,1,1
a111,0,0
a145,0,1
